Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
SPSC,4510,81.33958625224082,63.85158055712598,54.781410817536596,66.65752587563446,5.0,49549136.00172733,0.01754555,1.2271666272466135
SFBC,4010,90.98549444084708,58.32668993054834,49.7852656096061,66.36581666033383,10.0,7594718.7290196875,0.07078362,0.16080308691264428
CCBG,4010,74.32983261348335,59.84290811008439,64.7295084185588,66.30074971404217,5.0,3592551.297857116,0.224476521,0.6944837240453816
ALG,2010,82.96788891533534,62.81965664871347,52.97872973268016,66.25542509890965,0.0,18363521.490099594,0.024549404,0.7717963816134237
OMC,5020,79.6090663279926,63.63030077682111,55.142864455660494,66.12741052015807,20.0,7689519.5784568135,0.023831495,0.8367845810261887
SAFT,4030,81.86851536833944,62.548576463914934,53.94364143886354,66.12024442370597,10.0,15367313.509794012,0.026957611,0.4056934351940217
JAKK,2520,80.5067007738049,65.74549255231341,52.0250538206326,66.09241571558363,20.0,-64544787.40636157,-0.011068428,0.7474194838766087
PANW,4510,79.84237226990696,63.8026418992724,54.62630989743592,66.09044135553843,5.0,102531387.76757814,-0.012496018,1.3407142926445348
LQDT,2020,79.59296334309046,63.19441452028684,55.16438789837237,65.98392192058321,5.0,22316204.580523666,0.019933723,0.8502703433410461
ALKT,4510,78.92184183930024,64.08428127975878,54.58108585716312,65.86240299207405,5.0,-202378661.23196763,-0.021255483,1.4105266792215057
VGAS,1010,81.2755251508843,63.655735946662354,51.9588406332782,65.63003391027496,30.0,-11105791.083580228,-0.037328632,0.7936399228453768
TILE,2020,77.96705125162828,62.42420530618957,56.256577838259716,65.54927813202586,10.0,15415373.001182985,0.039399393,0.8307261050321549
III,4510,83.16556965362284,61.45099187978371,51.976975086862495,65.53117887342302,20.0,24128045.17173638,0.013974201,0.648511773284099
BJRI,2530,76.61990115037655,65.3060106615499,54.56230728721955,65.49607303304866,10.0,9048750.719899382,0.022852636,1.1398328188428548
CCB,4010,63.9286024561034,59.38021976593805,73.15937733938601,65.48939985380916,0.0,8248557.289093203,0.307923412,1.0437090863602025
NVEC,4530,83.21639746747462,61.11926951795006,52.10664801926338,65.48077166822935,0.0,45733943.95469469,0.038401163,1.1285122180469753
PDEX,3510,86.40559715835116,59.612903391319506,50.291513756048495,65.43667143523972,30.0,8444735.866700202,-0.021497756,-0.2737401558622148
WD,4020,79.08730013033296,63.30535712582436,53.54323494490369,65.31196406702033,10.0,12058946.510213865,0.008975483,0.8300357801709751
TRAK,4510,77.11036919761902,63.86339035271347,54.72534954222818,65.23303636418689,5.0,36763547.05093583,0.006687016,1.5479075024185225
AVA,5510,80.43192207908146,61.89247968752174,53.036105218787355,65.12016899513019,40.0,9551141.935384616,0.002525708,-0.025368680654096577
SNCY,2030,78.39880544875896,62.7684754490784,53.65191956535191,64.93973348772975,20.0,4557109.913600039,0.003322166,0.9784901825371675
NATR,3030,77.94576481462332,64.47306601828359,52.36528590043836,64.92803891111508,40.0,12264227.084931081,0.006188211,0.680240682959039
AOS,2010,80.85195352923452,61.80523829533762,51.9446544780308,64.86728210086764,8.0,11857951.84784689,0.063803801,0.7279317155555576
SBFG,4010,87.38505491864336,58.83810327026311,47.976112306420845,64.7330901651091,5.0,7988804.710903343,0.043820751,0.3094599928462337
CSPI,4510,75.64344725258907,63.94839188185294,54.51254093116209,64.70146002186804,5.0,-55261298.23238255,-0.034531981,1.659157840810024
FELE,2010,79.8075882962664,62.14805742766385,52.089593070026865,64.68174626465238,5.0,16051819.020386059,0.016438214,0.8690452706966802
INVA,3520,81.06506565519318,60.25166595460924,52.71584986296006,64.67752715758749,5.0,10658185.803975359,0.113568521,0.28101803916310575
PLAY,2530,77.68217364946224,64.46088897438489,51.883730973442056,64.67559786576307,20.0,2234757.8657852565,0.00336784,0.870363018935668
COST,3010,74.26118368722233,58.73448142470338,60.94017211758818,64.64527907650464,20.0,31568818.381684754,0.052170995,0.6109033110830235
SNOW,4510,77.10219785258215,63.23572831267686,53.38513008741418,64.5743520842244,10.0,-158500104.2606185,-0.073027006,1.4018026965807524
OVBC,4010,89.84162787235303,58.90476640660354,44.83616898863364,64.52752108919674,8.0,6118155.5545400055,0.01443462,0.21152711725562942
CZWI,4010,83.4725010031687,59.73394533575745,50.26166037278542,64.48936890390387,0.0,6700926.165145946,0.061012,0.4673217553076693
MAS,2010,78.78633684942722,62.23123089109458,52.42402035006956,64.48052936353045,5.0,12169984.575757576,0.061395627,0.9383187290844356
